label,bandwidth,latency,rtt,jitter,ipa,win_incs,win_decs,retrans,outoforders
cong,15.11,0.01,0.01,0,0.01,1,1,0,0
loss,0.08,0,0,0,0,1,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.07,50.97,203.88,101.94,0.2,1,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
cong,18.81,0,0.01,0,0,5,8,0,1
loss,0.08,0,0,0,0,0,0,0,0
cong,15.38,0.01,0.01,0,0,1,1,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.07,50.98,203.93,101.96,0,0,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
cong,7.98,0.01,0.02,0,0.01,46,22,0,8
cong,14.18,0.01,0.01,0,0,26,6,0,2
loss,0.08,0,0,0,0,0,0,0,0
loss,0.07,203.93,815.71,407.85,0,0,0,0,0
loss,0.08,3373.13,13492.51,6746.26,0,0,1,0,0
cong,15.97,0.01,0.01,0,0,4,6,0,0
cong,17.69,0,0.01,0,0,7,7,0,3
cong,13.6,0,0.01,0,0,0,0,0,0
loss,0.08,408,1632,816,0.2,0,1,0,0
cong,16.5,0.01,0.01,0,0,11,12,0,5
loss,0.07,50.8,203.2,101.6,0,1,0,0,0
loss,0.07,1736.83,6947.31,3473.65,0,0,0,0,0
loss,0.09,0,0,0,0,1,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,18.61,0.01,0.01,0,0,0,0,0,0
loss,0.53,0.1,0.25,0,0,4,1,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.07,51.01,204.02,102.01,0,1,0,0,0
loss,0.08,357.19,1428.76,714.38,1.43,0,0,0,0
loss,0.07,50.8,203.2,101.6,0,0,0,0,0
loss,0.08,356.96,1427.85,713.93,0,0,0,0,0
cong,5.61,0.01,0.01,0,0.01,8,6,0,1
cong,2.66,24.94,51.19,2.71,0.01,3,4,0,0
loss,0.08,102.11,408.45,204.22,0.2,1,0,0,0
